,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85123996282,10.1088/1742-6596/2128/1/012018,,,Autonomous Vehicle Path Planning using Q-Learning,cp,Conference Paper,Ibrahim M.M.S.,,"Arab Academy for Science, Technology and Maritime Transport",Heliopolis,Egypt,,,,,2021-12-24,24 December 2021,Journal of Physics: Conference Series,17426588,130053,17426596,Conference Proceeding,2128,1,012018,,,,0,1,publisherfree2read,Bronze,,,
1,2-s2.0-85123736113,10.1088/1742-6596/2138/1/012011,,,A Review of Mobile Robot Path Planning Based on Deep Reinforcement Learning Algorithm,cp,Conference Paper,Zhao Y.,,Beijing Union University,Beijing,China,,,,,2021-12-16,16 December 2021,Journal of Physics: Conference Series,17426588,130053,17426596,Conference Proceeding,2138,1,012011,,,,3,1,publisherfree2read,Bronze,,,
2,2-s2.0-85120738485,10.3389/fnbot.2021.744031,,,Tunable Neural Encoding of a Symbolic Robotic Manipulation Algorithm,ar,Article,Katz G.E.,,Syracuse University,Syracuse,United States,,,,,2021-12-14,14 December 2021,Frontiers in Neurorobotics,,21100199837,16625218,Journal,15,,744031,,,,1,1,repositoryvor,Green,,,
3,2-s2.0-85119417590,,,,"2021 58th ACM/IEEE Design Automation Conference, DAC 2021",cr,Conference Review,,,,,,,,,,2021-12-05,5 December 2021,Proceedings - Design Automation Conference,0738100X,110497,,Conference Proceeding,2021-December,,,,,,0,0,,,,,
4,2-s2.0-85121438565,10.3389/frobt.2021.704119,,,LEADOR: A Method for End-To-End Participatory Design of Autonomous Social Robots,re,Review,Winkle K.,,The Royal Institute of Technology (KTH),Stockholm,Sweden,,,,,2021-12-03,3 December 2021,Frontiers in Robotics and AI,,21100868821,22969144,Journal,8,,704119,,,,1,1,repositoryam,Green,,,
5,2-s2.0-85125356127,10.19650/j.cnki.cjsi.J2108032,,,Humanoid motion planning of robotic arm based on reinforcement learning,ar,Article,Yang A.,,Shanghai Key Laboratory of Power Station Automation Technology;Shanghai University,Shanghai;Shanghai,China;China,,,,,2021-12-01,December 2021,Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument,02543087,15597,,Journal,42,12,,136-145,,,1,0,,,,,
6,2-s2.0-85122335584,10.1177/02783649211056967,,,Learning to solve sequential physical reasoning problems from a scene image,ar,Article,Driess D.,,Max Planck Institute for Intelligent Systems;Technische Universität Berlin,Tubingen;Berlin,Germany;Germany,,,,,2021-12-01,December 2021,International Journal of Robotics Research,02783649,18050,17413176,Journal,40,12-14,,1435-1466,,,3,1,publisherhybridgold,Hybrid Gold,,,
7,2-s2.0-85121615869,10.12716/1001.15.04.19,,,Parallel robot controlled by plc and its digital twin,ar,Article,Michalík R.,,University of Žilina,Zilina,Slovakia,,,,,2021-12-01,December 2021,TransNav,20836473,21100914186,20836481,Journal,15,4,,867-871,,,0,1,publisherfullgold,Gold,,,
8,2-s2.0-85120985794,10.3390/s21248331,,34960425,A reinforcement learning based dirt-exploration for cleaning-auditing robot,ar,Article,Pathmakumar T.,,Singapore University of Technology and Design,,Singapore,,,,,2021-12-01,December-2 2021,Sensors,14248220,130124,,Journal,21,24,8331,,,,4,1,repositoryam,Green,,,
9,2-s2.0-85120797336,10.3390/electronics10243056,,,Hydra: Introducing a low-cost framework for stem education using open tools,ar,Article,Tsalmpouris G.,,Hellenic Mediterranean University,Heraklion,Greece,,,,,2021-12-01,December-2 2021,Electronics (Switzerland),,21100829272,20799292,Journal,10,24,3056,,,,2,1,publisherfullgold,Gold,,,
