:doi,:title,:description,:subtype,:coverDate,:publicationName,:authkeywords,:eid,:pii,:pubmed_id,:subtypeDescription,:creator,:afid,:affilname,:affiliation_city,:affiliation_country,:author_count,:author_names,:author_ids,:author_afids,:coverDisplayDate,:issn,:source_id,:eIssn,:aggregationType,:volume,:issueIdentifier,:article_number,:pageRange,:openaccess,:fund_acr,:fund_no,:fund_sponsor,:citedby_count,:YEAR,:URL
10.1145/3561391,The Perception of Teachers on Usability and Accessibility of Programming Materials for Children with Visual Impairments,"Programming education is strongly emerging in elementary and high school. Diversity and inclusion are important topics, however, insights on suited programming materials for younger learners with visual impairments are lacking. A wide range of programming materials for children exists, diverse in both what is being programmed (output) and how this is done (input), yet often relying on visual features. An understanding of the usability and accessibility aspects of these different materials is important to inform educational practice and to increase understanding of what makes programming materials suited for low vision and blind children. The aim of this study is to explore the usability and accessibility of programming materials currently used in education to low vision and blind children in the Netherlands. A focus group was conducted with six teachers or IT experts, all working with the target group in special education. The thematic analysis of the discussion of 25 materials (including unplugged lessons, robots and robotic kits, block-based and text-based languages) showed the potential of several materials, especially unplugged lessons, and the continuing search for suited materials and workforms specifically for the blind children. Furthermore, prioritizing ""fun""and close connections to children's daily life as well as careful explorations of usability at the cognitive level came forward as important factors for future research and development in programming materials for low vision and blind children. These insights can contribute to obtaining an inclusive approach to programming for young learners.",ar,2022-12-29,ACM Transactions on Computing Education,Children's programming materials | usability and accessibility | visual impairments,2-s2.0-85148000425,,,Article,Van Der Meulen A.,60108010;60019816;60008734;129182145,Saxion University of Applied Sciences;Universiteit Leiden;Vrije Universiteit Amsterdam;Royal Dutch Vision,Deventer;Leiden;Amsterdam;Huizen,Netherlands;Netherlands;Netherlands;Netherlands,4,"Van Der Meulen, Anna;Hartendorp, Mijke;Voorn, Wendy;Hermans, Felienne",57222814221;36547979900;58102758800;35573133300,60019816;60108010;129182145;60019816-60008734,29 December 2022,,19700183047,19466226,Journal,23,1,14,,0,,undefined,,0,2022,https://doi.org/10.1145/3561391
10.1145/3556539,Training PPA Models for Embedded Memories on a Low-data Diet,"Supervised machine learning requires large amounts of labeled data for training. In power, performance, and area (PPA) estimation of embedded memories, every new memory compiler version is considered independently of previous compiler versions. Since the data of different memory compilers originate from similar domains, transfer learning may reduce the amount of supervised data required by pre-training PPA estimation neural networks on related domains. We show that provisioning times of PPA models for new compiler versions can be reduced significantly by exploiting similarities among different compilers, versions, and technology nodes. Through transfer learning, we shorten the time to provision PPA models for new compiler versions, which speeds up time-critical periods of the design cycle. Using only 901 training samples (10%) is sufficient to achieve an almost worst-case (98th percentile) estimation error of 2.67% and allows us to shorten model provisioning times from 40 days to less than one week without sacrificing accuracy. To enable a diverse set of source domains for transfer learning, we devise a new, application-independent method for overcoming structural domain differences through domain equalization that attains competitive results when compared to domain-free transfer. A high degree of automation necessitates the efficient assessment of the best source domains. We propose using various metrics to accurately identify four of the five best among 45 datasets with low computational effort.",ar,2022-12-24,ACM Transactions on Design Automation of Electronic Systems,artificial neural networks | deep learning | Electronic design automation | few-shot learning | machine learning | memory compilers | regression | transfer learning,2-s2.0-85152480935,,,Article,Last F.,60104055;60019722,Intel Deutschland GmbH;Technische Universität München,Munich;Munich,Germany;Germany,2,"Last, Felix;Schlichtmann, Ulf",57202820057;6603456416,60019722-60104055;60019722,24 December 2022,10844309,18662,15577309,Journal,28,2,3556539,,0,,undefined,,0,2022,https://doi.org/10.1145/3556539
10.3389/fncom.2022.1039822,Adapting hippocampus multi-scale place field distributions in cluttered environments optimizes spatial navigation and learning,"Extensive studies in rodents show that place cells in the hippocampus have firing patterns that are highly correlated with the animal's location in the environment and are organized in layers of increasing field sizes or scales along its dorsoventral axis. In this study, we use a spatial cognition model to show that different field sizes could be exploited to adapt the place cell representation to different environments according to their size and complexity. Specifically, we provide an in-depth analysis of how to distribute place cell fields according to the obstacles in cluttered environments to optimize learning time and path optimality during goal-oriented spatial navigation tasks. The analysis uses a reinforcement learning (RL) model that assumes that place cells allow encoding the state. While previous studies have suggested exploiting different field sizes to represent areas requiring different spatial resolutions, our work analyzes specific distributions that adapt the representation to the environment, activating larger fields in open areas and smaller fields near goals and subgoals (e.g., obstacle corners). In addition to assessing how the multi-scale representation may be exploited in spatial navigation tasks, our analysis and results suggest place cell representations that can impact the robotics field by reducing the total number of cells for path planning without compromising the quality of the paths learned.",ar,2022-12-12,Frontiers in Computational Neuroscience,hippocampus | multi-scale | place cells | reinforcement learning | spatial cognition | spatial learning | spatial navigation,2-s2.0-85144825485,,,Article,Scleidorovich P.,60010065;60007740,"The University of Arizona;University of South Florida, Tampa",Tucson;Tampa,United States;United States,3,"Scleidorovich, Pablo;Fellous, Jean Marc;Weitzenfeld, Alfredo",57211276928;7003806123;15836291700,60007740;60010065;60007740,12 December 2022,,19700175168,16625188,Journal,16,,1039822,,1,,1703225,,0,2022,https://doi.org/10.3389/fncom.2022.1039822
10.1093/jcde/qwac109,A novel bio-inspired approach with multi-resolution mapping for the path planning of multi-robot system in complex environments,"For multi-robot systems (MRSs), conventional path planning with single resolution mapping is challenging to balance information and computation. Regarding path planning of MRS, the previous research lacked systematic definition, quantitative evaluation, and the consideration of complex environmental factors. In this paper, a new systematic formulation is proposed to redefine the multi-robot path planning problem in complex environments, and evaluate the related solutions of this problem. To solve this problem, a novel bio-inspired approach based on reaction-diffusion system is given to deal with the path planning of MRS in complex environments, such as electromagnetic interference, ocean currents, and so on. Furthermore, a multi-layer neural dynamic network is proposed to describe environments with multiple resolutions, which can improve time performance while ensuring the integrity of environmental information. Comparative experimental results indicate that the proposed approach shows the excellent path planning performance of MRS in complex environments. The stability of the proposed method is determined by the mathematical basis.",ar,2022-12-01,Journal of Computational Design and Engineering,multi-robot system | neural dynamics | obstacle avoidance | path planning,2-s2.0-85160023902,,,Article,Yi X.,60015881;60000937,University of Guelph;Shenzhen University,Guelph;Shenzhen,Canada;China,4,"Yi, Xin;Zhu, Anmin;Li, Chaofan;Yang, Simon X.",57202211930;7102514589;57897840900;57281389600,60000937;60000937;60000937;60015881,1 December 2022,22884300,21100820602,22885048,Journal,9,6,,2343-2354,1,,undefined,,1,2022,https://doi.org/10.1093/jcde/qwac109
10.1134/S1064562422060229,Planning and Learning in Multi-Agent Path Finding,"Abstract: Multi-agent path finding arises, on the one hand, in numerous applied areas. A classical example is automated warehouses with a large number of mobile goods-sorting robots operating simultaneously. On the other hand, for this problem, there are no universal solution methods that simultaneously satisfy numerous (often contradictory) requirements. Examples of such criteria are a guarantee of finding optimal solutions, high-speed operation, the possibility of operation in partially observable environments, etc. This paper provides a survey of modern methods for multi-agent path finding. Special attention is given to various settings of the problem. The differences and between learnable and nonlearnable solution methods and their applicability are discussed. Experimental programming environments necessary for implementing learnable approaches are analyzed separately.",ar,2022-12-01,Doklady Mathematics,heuristic search | multi-agent systems | path planning | reinforcement learning,2-s2.0-85146812973,,,Article,Yakovlev K.S.,60110807;100601257,Federal Research Center Informatics and Management of the Russian Academy of Sciences;Artificial Intelligence Research Institute,Moscow;Moscow,Russian Federation;Russian Federation,4,"Yakovlev, K. S.;Andreychuk, A. A.;Skrynnik, A. A.;Panov, A. I.",57125950700;57195683443;57188871403;56504794900,100601257-60110807;100601257;100601257;100601257-60110807,December 2022,10645624,25924,15318362,Journal,106,,,S79-S84,1,,undefined,,0,2022,https://doi.org/10.1134/S1064562422060229
10.3390/su142416514,Learning Performance of Different Genders’ Computational Thinking,"While the role of computational thinking (CT) has been widely reported in technology applications and further integrated into interdisciplinary learning, the integration of pedagogy-supported interdisciplinary activities for the empowerment of girls’ learning must not solely emphasise CT problem-solving skills. Rather, it must scaffold them with interactive learning that supports their characteristics while catering to gender equality. In this study, a gender-balanced interdisciplinary activity, integrating CT with Mandarin learning (ML), was designed for an elementary school in the Mandarin as a Second Language learning context using Social Robots (SRs). It sought to verify the results of the proposed method along with focused activities and interaction in an SR-integrated activity on the CT abilities and target-language learning of young learners. A total of 46 Grade 5 students, 26 boys and 20 girls, participated in the experiment. The study used a quasi-experimental method by examining the result of pre- and post-tests on language acquisition, programming self-efficacy, the educational robot attitude, and learning perceptions in the activity. The results indicated that there were no gender differences in terms of ML, self-efficacy in programming, or attitudes toward using SRs in the SR-integrated interdisciplinary activities. However, the boys and girls had different perceptions of learning. Suggestions for conducting SR-integrated interdisciplinary learning are given, along with pedagogical implications for the further promotion of women in technology.",ar,2022-12-01,Sustainability (Switzerland),computational thinking | educational robots | game-based learning | gender difference | interdisciplinary activities,2-s2.0-85144874518,,,Article,Hsu T.C.,60022637;60010940,National Taiwan Normal University;National Institute of Education,Taipei;Singapore City,Taiwan;Singapore,4,"Hsu, Ting Chia;Chang, Ching;Wong, Lung Hsiang;Aw, Guat Poh",35173046500;57212663683;35212726900;56071782500,60022637;60022637;60010940;60010940,December 2022,,21100240100,20711050,Journal,14,24,16514,,1,MOST,108-2511-H-003-056-MY3,Ministry of Science and Technology of the People's Republic of China,1,2022,https://doi.org/10.3390/su142416514
10.3390/s22249574,Deep Deterministic Policy Gradient-Based Autonomous Driving for Mobile Robots in Sparse Reward Environments,"In this paper, we propose a deep deterministic policy gradient (DDPG)-based path-planning method for mobile robots by applying the hindsight experience replay (HER) technique to overcome the performance degradation resulting from sparse reward problems occurring in autonomous driving mobile robots. The mobile robot in our analysis was a robot operating system-based TurtleBot3, and the experimental environment was a virtual simulation based on Gazebo. A fully connected neural network was used as the DDPG network based on the actor–critic architecture. Noise was added to the actor network. The robot recognized an unknown environment by measuring distances using a laser sensor and determined the optimized policy to reach its destination. The HER technique improved the learning performance by generating three new episodes with normal experience from a failed episode. The proposed method demonstrated that the HER technique could help mitigate the sparse reward problem; this was further corroborated by the successful autonomous driving results obtained after applying the proposed method to two reward systems, as well as actual experimental results.",ar,2022-12-01,Sensors,autonomous driving | deep deterministic policy gradient | hindsight experience replay | mobile robot | reinforcement learning | sparse reward environments,2-s2.0-85144557389,,36559941,Article,Park M.,60025615;60001170,Soonchunhyang University;Yeungnam University,Asan;Gyeongsan,South Korea;South Korea,4,"Park, Minjae;Lee, Seok Young;Hong, Jin Seok;Kwon, Nam Kyu",57961064800;55919523400;57961278000;55902868000,60001170;60025615;60001170;60001170,December 2022,14248220,130124,,Journal,22,24,9574,,1,YU,2020R1F1A1064330,Yeungnam University,1,2022,https://doi.org/10.3390/s22249574
10.3390/su142315951,Employing Robotics in Education to Enhance Cognitive Development—A Pilot Study,"(1) Background: Info-communication technology (ICT) offers opportunities for innovations in teaching and learning methods, bringing significant changes in the world of pedagogy. The field called educational robotics is both a motivational basis for teaching and learning coding and programming, and a tool for linking STEM (Science, Technology, Engineering, and Mathematics) fields. Moreover, it might contribute to the development of cognitive and social skills. The aim of the present paper is to report on a pilot study at the intersection of neurodiversity and educational robotics. (2) Methods: The pilot study was part of a larger project, namely Robotics for the Inclusive Development of Atypical and Typical Children (RIDE). A pre-test/post-test design was used to examine the development of different cognitive processes in sixth-grade students, such as computational thinking (CT), spatial relations, visuo-constructive ability, attention, and reading ability, in relation to a robotics development program employed in the classroom. (3) Results: The results suggest a general improvement on nearly all measures. Specifically, participants’ performance improved significantly from pre-test to post-test in the visuo-constructive abilities test, they made significantly fewer reading errors, and improved substantially in their reading comprehension. (4) Conclusions: The RIDE project’s curriculum development has resulted in a highly innovative, sustainable, and inclusive package of pedagogical methods, and the pilot research shows promising results regarding the implementation of robotics in education.",ar,2022-12-01,Sustainability (Switzerland),attention | cognition | computational thinking | education | reading ability | robotics | spatial relations | visuo-constructive ability,2-s2.0-85143770192,,,Article,Kálózi-Szabó C.,60025187;60009914,Eötvös Loránd Tudományegyetem;Free University of Bozen-Bolzano,Budapest;Bolzano,Hungary;Italy,3,"Kálózi-Szabó, Csilla;Mohai, Katalin;Cottini, Milvia",57853389600;55960796800;56388733000,60025187;60025187;60009914,December 2022,,21100240100,20711050,Journal,14,23,15951,,1,,2019-1-HU01-KA201-061275,Erasmus+,1,2022,https://doi.org/10.3390/su142315951
10.1007/s10836-022-06037-4,Development of a Simplified Programming Kit Based 16LF18856 for Embedded Systems Testing and Education in Developing Countries,"Embedded systems and applications have recently emerged as a domain of high interest to the general public in developing countries. Unfortunately, these countries lack the technological infrastructure for the design, testing, and implementation of projects in the domain. This paper presents a Very Simple Programming Kit (VSPK) for Embedded Systems suitable for practical training, project design, and testing in the domain for use in developing countries. The microcontroller-based system makes it easy to test, teach and train in various areas of embedded systems including programming, communication, signal acquisition and processing, remote control, and domotics. A VSPK prototype has been produced and is used for real-time simulation of Embedded applications. This operation involves the VSPK, the PIC programmer, the PC and the application program to be tested progressively and the displays observed on the LCD and LEDs. The debugging process is easily performed and errors are detected and corrected. The main features of VSPK are low production cost, low power consumption, flexible peripheral pin selection, integrated LCD module, and simple hardware and software environment. Unlike similar kits available for educational purposes, VSPK possesses some advantages such as an integrated graphic color LCD, a configurable internal oscillator, numerically controlled oscillators, testing LEDs, testing buttons, and complete access to multiple programming languages. Two experimental and simple tests for validation of VSPK have been carried out, and the results show that VSPK performs satisfactorily.",ar,2022-12-01,Journal of Electronic Testing: Theory and Applications (JETTA),Education | Embedded systems | Microcontroller programming | Sub-Saharan Africa | Testing,2-s2.0-85143291722,,,Article,Nguimfack-Ndongmo J.d.D.,60116807;60070928;60070927;60070926;128941311,University of Bamenda;Université de Yaoundé I;University of Douala;University of Buea;Université de Dschang,Bamenda;Yaounde;Douala;Buea;Bandjoun,Cameroon;Cameroon;Cameroon;Cameroon;Cameroon,6,"Nguimfack-Ndongmo, Jean de Dieu;Kentsa Zana, Kevin;Asoh, Derek Ajesam;Kengnou Telem, Nicole Adélaïde;Kuate-Fochie, René;Kenné, Godpromesse",55863679000;57992199100;8660791400;57992264400;55863764400;12766614000,60116807-128941311;60070927;60116807-60070928;60070926;128941311;128941311,December 2022,09238174,18040,15730727,Journal,38,6,,589-602,0,,undefined,,0,2022,https://doi.org/10.1007/s10836-022-06037-4
10.1016/j.mechatronics.2022.102918,Robot path planner based on deep reinforcement learning and the seeker optimization algorithm,"Path planning is one of the key technologies for mobile robot applications. However, the traditional robot path planner has a slow planning response, which leads to a long navigation completion time. In this paper, we propose a novel robot path planner (SOA+A2C) that produces global and local path planners with the seeker optimization algorithm (SOA) and the advantage actor-critic (A2C) algorithm, respectively. In addition, to solve the problems of poor convergence performance when training deep reinforcement learning (DRL) agents in complex path planning tasks and path redundancy when metaheuristic algorithms, such as SOA, are used for path planning, we propose the incremental map training method and path de-redundancy method. Simulation results show that first, the incremental map training method can improve the convergence performance of the DRL agent in complex path planning tasks. Second, the path de-redundancy method can effectively alleviate path redundancy without sacrificing the search capability of the metaheuristic algorithm. Third, the SOA+A2C path planner is superior to the Dijkstra & dynamic window approach (Dijkstra+DWA) and the Dijkstra & timed elastic band (Dijkstra+TEB) path planners provided by the robot operating system (ROS) in terms of path length, path planning response time, and navigation completion time. Therefore, the developed SOA+A2C path planner can serve as an effective tool for mobile robot path planning.",ar,2022-12-01,Mechatronics,Advantage actor-critic | Deep reinforcement learning | Path de-redundancy | Path planning | Seeker optimization algorithm,2-s2.0-85141780201,S0957415822001362,,Article,Xing X.,60028009;127058978,Yunnan University;Yunnan Education Department,Kunming;Kunming,China;China,5,"Xing, Xiangrui;Ding, Hongwei;Liang, Zhuguan;Li, Bo;Yang, Zhijun",57204050727;35995295900;56250017800;57195397849;57188805913,60028009;60028009;60028009;60028009;60028009-127058978,December 2022,09574158,21096,,Journal,88,,102918,,0,NSFC,"2,020,306",National Natural Science Foundation of China,1,2022,https://doi.org/10.1016/j.mechatronics.2022.102918
