:INCLUDE?,:doi,:title,:description,:subtype,:coverDate,:publicationName,:authkeywords,:eid,:pii,:pubmed_id,:subtypeDescription,:creator,:afid,:affilname,:affiliation_city,:affiliation_country,:author_count,:author_names,:author_ids,:author_afids,:coverDisplayDate,:issn,:source_id,:eIssn,:aggregationType,:volume,:issueIdentifier,:article_number,:pageRange,:openaccess,:fund_acr,:fund_no,:fund_sponsor,:citedby_count,:YEAR,:URL,:FULL_ARTICLE,:NOTES,:HERRAMIENTAS,:EDADES_OBJETIVO,:PORTABILIDAD_HW,:TIPO_PAPER,:CUSTOM_TOOL?,:TIPO_DE_LENGUAJE,:CONCURRENCY?,:LIVENESS?,:DEBUGGING?,:MONITORING?,:AUTONOMY?
SI,10.5755/j01.eee.18.9.2825,The LEGO NXT robot-based e-learning environment to teach computer science topics,"It is difficult to motivate learners to learn abstract Computer Science topics (e.g., data structures, algorithms and programming) with the adequate level of engagement. We present the process of constructing a LEGO robot, called the DRAWBOT (drawing robot), which enables to create the e-learning environment to demonstrate visually the solution of graph-based Computer Science tasks through teaching programming. Our research has confirmed the importance of using robot-based environments for teaching that was known so far in the literature on e-learning. We have extended the known approaches: a) by providing technical characteristics for the process to create the e-learning environment for the real setting; b) by smoothly integrating different phases of the process and considering it into entirety to support the constructivist learning model. © Kauno technologijos universitetas, 2012.",ar,2012-12-01,Elektronika ir Elektrotechnika,Computer science e-learning | Learning task visualization | LEGO NXT robot | Robot control program.,2-s2.0-84872723602,,,Article,Burbaite R.,60042282,Kaunas University of Technology,Kaunas,Lithuania,3,"Burbaite, R.;Stuikys, V.;Marcinkevicius, R.",54897970900;6603106159;8681721200,60042282;60042282;60042282,2012,13921215,19900193212,,Journal,18,9,,113-116,1,,undefined,,12,2012,https://eejournal.ktu.lt/index.php/elt/article/view/2825,https://drive.google.com/file/d/1wuVbnoa5vwSq_oA1JNbPN4ZrgsqHL7iZ/view?usp=sharing,"Proponen el uso de un robot basado en Lego NXT al que llaman DRAWBOT. En el paper plantean una actividad donde construyen el robot, y lo programan. El robot tiene un diseño específico con un lapicito que le permite dibujar. No parecen estar usando sensores, por lo que vi los ejercicios se basan principalmente en dibujar patrones geométricos (tipo logo)","Testearon 3 lenguajes: NXT-G, RobotC and LeJOS NXJ.
Al final se quedaron con RobotC","secondary school classes for the advanced students.
the approach is applicable also at the university level.",Lego NXT,"Propone una actividad con Lego.
Mencionan que hicieron una experiencia con alumnos de secundaria pero no dicen mucho más (lo único que midieron fue el tiempo medio de resolucion de cada tarea en la actividad).",No,Textual,Sí,No,No,No,Sí
SI,10.1007/s00779-011-0404-2,Tangible interaction and learning: The case for a hybrid approach,"Research involving tangible interaction and children has often focused on how tangibles might support or improve learning compared to more traditional methods. In this paper, we review three of our research studies involving tangible computer programming that have addressed this question in a variety of learning environments with a diverse population of children. Through these studies, we identify situations in which tangible interaction seems to offer advantages for learning; however, we have also identify situations in which tangible interaction proves less useful and an alternative interaction style provides a more appropriate medium for learning. Thus, we advocate for a hybrid approach-one that offers teachers and learners the flexibility to select the most appropriate interaction style to meet the needs of a specific situation. © Springer-Verlag London Limited 2011.",ar,2012-04-01,Personal and Ubiquitous Computing,Children | Computer programming | Education | Hybrid tangible interface | Robotics | Tangible interaction | TUIs,2-s2.0-84860883413,,,Article,Horn M.,60023143;60007363,Tufts University;Northwestern University,Medford;Evanston,United States;United States,3,"Horn, Michael S.;Crouser, R. Jordan;Bers, Marina U.",35931772700;24773306500;57203655429,60007363;60023143;60023143,April 2012,16174909,22315,,Journal,16,4,,379-389,0,NSF,DRL-0735657,National Science Foundation,131,2012,https://link.springer.com/article/10.1007%2Fs00779-011-0404-2,https://drive.google.com/file/d/1qTADn7iZSXAtzVoVlttHbkX7nDh0-6Pc/view?usp=sharing,"Mencionan ventajas y desventajas (interesante) de la programación tangible. Acá puede servir para justificar porqué no fuimos para ese lado (además de que parece ser muy limitada y más para chicos chicos esa interfaz de programación)

Hicieron 3 estudios midiendo diferentes cosas: el primero en un museo donde algunos días pusieron los bloques de madera y otros una GUi; el segundo estudio en un jardín de infantes donde trabajaron con Legoo RCX; y el tercero en un campamento de robótica para chicos de 5 a 7 años donde probaron un entorno híbrido (tangible y visual)","Tern, un lenguaje tangible que usa bloques de madera","Desde los 4 años...
El tercer estudio lo hicieron con pibes de 5 a 7 años",Lego RCX,Review de otros tres estudios de casos acerca de los lenguajes tangibles vs visuales.,Hicieron una versión híbrida de Tern con componentes gráficos,"Tangible
Híbrida (tangible y visual)",No,No,No,No,Sí
SI,10.1109/TLT.2011.28,Using Haptic and Auditory Interaction Tools to Engage Students with Visual Impairments in Robot Programming Activities,"The robotics field represents the integration of multiple facets of computer science and engineering. Robotics-based activities have been shown to encourage K-12 students to consider careers in computing and have even been adopted as part of core computer-science curriculum at a number of universities. Unfortunately, for students with visual impairments, there are still inadequate opportunities made available for teaching basic computing concepts using robotics-based curriculum. This outcome is generally due to the scarcity of accessible interfaces to educational robots and the unfamiliarity of teachers with alternative (e.g., nonvisual) teaching methods. As such, in this paper, we discuss the use of alternative interface modalities to engage students with visual impairments in robotics-based programming activities. We provide an overview of the interaction system and results on a pilot study that engaged nine middle school students with visual impairments during a two-week summer camp. © 2012 IEEE",ar,2012-01-01,IEEE Transactions on Learning Technologies,Education | functional programming | haptic I/O | robotics,2-s2.0-85008525642,,,Article,Howard A.,60021508;60019647,University of Notre Dame;Georgia Institute of Technology,Notre Dame;Atlanta,United States;United States,3,"Howard, Ayanna M.;Park, Chung Hyuk;Remy, Sekou",26643170000;36080995200;23980969400,60019647;60019647;60021508,January/March 2012,19391382,19700167026,,Journal,5,1,,87-95,1,,940146,,30,2012,https://ieeexplore.ieee.org/document/6095498,https://drive.google.com/file/d/1iJOdry1Cff009jcwv2ldPpuc5Ap4L2JG/view?usp=sharing,"Mencionan interfaces especiales para facilitar la programación de robots para chicos con problemas de visión, no sé si hay alguna mención específica a un entorno de programación para robótica educativa.

Sí, mencionan Lego NXT con BricxCC con algunas modificaciones para poder dar feedback a los chicos con problemas de visión. El feedback se puede analizar en 3 formas separadas: al momento de la programación, al momento de la ejecución del programa, y luego de ejecutar el programa. Por lo que cuentan, usaron distintas estrategias en cada caso. 

Es interesante también la evaluación que hicieron con alumnos ciegos. El objetivo es evaluar qué tan bien pueden incorporarlos en las actividades y así motivarlos a meterse en esta disciplina. Separaron la cuestión en cosas objetivas que pueden medir y luego cosas subjetivas (una encuesta, básicamente).
Capaz está bueno para tomar como referencia porque hicieron el experimento con sólo 9 chicos, les dieron a todos el mismo robot pre-armado, cada uno hizo 4 tareas.",Lego NXT con BricxCC (NQC),"En el experimento participaron de ""middle school"", pero Lego NXT puede usarse con chicos más grandes",Lego NXT,Experimento con chicos ciegos,Agregaron sistemas de feedback háptico y sonoro para que lo puedan usar los pibes ciegos,Textual,"Sí, NQC soporta multitasking",No,No,"Más o menos, como es un sistema para chicos ciegos implementaron un sistema con feedback háptico y auditivo que le dice a los pibes cómo se está moviendo el robot, si tiene obstáculos adelante, si el sensor de tacto está activado, y si el robot alcanzó el objetivo.","Sí, es LEGO NXT"
SI,10.1109/TE.2012.2190071,Algorithmic Bricks: A tangible robot programming tool for elementary school students,"Tangible programming tools enable children to easily learn the programming process, previously considered to be difficult for them. While various tangible programming tools have been developed, there is still a lack of available tools to help students experience the general programming process. This study therefore developed a tool called Algorithmic Bricks (A-Bricks), to improve the programming language experience by considering and utilizing characteristics of procedural language. Specifically, elements such as sequence, repetition, condition, function, and parameter were used to develop A-Bricks. In addition, this study observed the benefits of A-Bricks and confirmed its potential as a tangible educational programming tool by comparing and analyzing elementary school students using A-Bricks to control groups using Scratch. © 2012 IEEE.",ar,2012-01-01,IEEE Transactions on Education,Computer science education | Educational robot | Procedural programming | Tangible user interface,2-s2.0-84898802347,,,Article,Kwon D.,60005273,Korea University,Seoul,South Korea,4,"Kwon, Dai Young;Kim, Han Sung;Shim, Jae Kwoun;Lee, Won Gyu",15520920800;57203629768;56118822900;56164989400,60005273;60005273;60005273;60005273,November 2012,189359,17344,,Journal,55,4,,474-479,0,NRF,NRF-2011-358-B00037,National Research Foundation of Korea,26,2012,https://ieeexplore.ieee.org/document/6172535,https://drive.google.com/file/d/1KHZhcYFOgp2gmznMsx_e-meH3cCQXhOe/view?usp=sharing,"Desarrollaron una herramienta tangible y la probaron con alumnos en un experimento comparando con Scratch.
Las métricas que compararon son: (1) convenience, understandability, and enjoyment of using the tool; (2) frequency of errors while using the tool; (3) level of achievement in
the programming activity.
10 alumnos en grupo experimental y 14 en grupo de control",Algorithmic Bricks (A-Bricks),first-grade elementary school,The robot used in this study is similar to Line-Tracers (robot de desarrollo propio?),"Presenta una herramienta nueva
Hace un experimento de usabilidad (compara con Scratch)",Desarrollo propio,Tangible,No,No,No,No,Si?
SI,10.1080/08993408.2013.847152,Mindstorms robots and the application of cognitive load theory in introductory programming,"This paper reports on a series of introductory programming workshops, initially targeting female high school students, which utilised Lego Mindstorms robots. Cognitive load theory (CLT) was applied to the instructional design of the workshops, and a controlled experiment was also conducted investigating aspects of the interface. Results indicated that a truncated interface led to better learning by novice programmers as measured by test performance by participants, as well as enhanced shifts in self-efficacy and lowered perception of difficulty. There was also a transfer effect to another programming environment (Alice). It is argued that the results indicate that for novice programmers, the mere presence on-screen of additional (redundant) entities acts as a form of tacit distraction, thus impeding learning. The utility of CLT to analyse, design and deliver aspects of computer programming environments and instructional materials is discussed. © 2013 Taylor & Francis.",ar,2013-12-01,Computer Science Education,cognitive load theory | instructional design | introductory programming | Mindstorms NXT | robots,2-s2.0-84889605432,,,Article,Mason R.,60170278,School of Business and Tourism,Lismore,Australia,2,"Mason, Raina;Cooper, Graham",51864277800;7402356040,60170278;60170278,December 2013,8993408,19700201422,17445175,Journal,23,4,,296-314,0,,undefined,,13,2013,https://www.tandfonline.com/doi/abs/10.1080/08993408.2013.847152,https://drive.google.com/file/d/1EYcmjqe31VU25ajqt--gczV7jm8KXWgb/view?usp=sharing,,Lenguaje visual de Lego Mindstorms NXT (NXT-G),"De 9 a 10 el primer workshop
De 11 a 13 el experimento",Lego NXT,Describen un workshop con alumnas y un experimento controlado,No,Visual,"Entiendo que el lenguaje del NXT soporta concurrency, pero no lo mencionan en el paper",No,No,"Creo que sí, de una forma un poco limitada pero podés ver los valores de los sensores en el IDE",Sí
SI,10.1080/08993408.2013.847165,The role of physicality in rich programming environments,"Computer science proficiency continues to grow in importance, while the number of students entering computer science-related fields declines. Many rich programming environments have been created to motivate student interest and expertise in computer science. In the current study, we investigated whether a recently created environment, Robot Virtual Worlds (RVWs), can be used to teach computer science principles within a robotics context by examining its use in high-school classrooms. We also investigated whether the lack of physicality in these environments impacts student learning by comparing classrooms that used either virtual or physical robots for the RVW curriculum. Results suggest that the RVW environment leads to significant gains in computer science knowledge, that virtual robots lead to faster learning, and that physical robots may have some influence on algorithmic thinking. We discuss the implications of physicality in these programming environments for learning computer science. © 2013 Taylor & Francis.",ar,2013-12-01,Computer Science Education,algorithmic thinking | computer programming | physicality | programming environments | robotics | virtual simulations,2-s2.0-84889566370,,,Article,Liu A.,60104841;60015543,The Robotics Institute;University of Pittsburgh,Pittsburgh;Pittsburgh,United States;United States,4,"Liu, Allison S.;Schunn, Christian D.;Flot, Jesse;Shoop, Robin",55893525700;7004260796;55893535300;25655529500,60015543;60015543;60104841;60104841,December 2013,8993408,19700201422,17445175,Journal,23,4,,315-331,0,NSF,1029404,National Science Foundation,14,2013,https://www.tandfonline.com/doi/abs/10.1080/08993408.2013.847165,https://drive.google.com/file/d/1AtiQAP2DlHfAe12Ih4t2jSGzto7ZrjeC/view?usp=sharing,"Interesante, estudia el impacto de la virtualidad en la robótica educativa? Puede servir para justificar ya sea mendieta, el laboratorio remoto, o physical bits (dependiendo de las conclusiones)
No sé si menciona alguna herramienta específica

Comparan el impacto en el aprendizaje de usar robots virtuales con robots físicos. Interesantes conclusiones. El uso de robots virtuales significó una reducción en el tiempo que tardaron en cubrir los mismos temas que con los robots físicos (""working with the virtual VEX robots allowed students to learn and complete the course more efficiently in the RvW environment when compared to the physicalo VEX robots""). La razón parece ser que los estudiantes que usaron los robots físicos se encontraron con varios problemas adicionales de comunicación, eléctricos, y mecánicos que requirieron tiempo del instructor para resolverlos.
Otra cosa interesante es que parece que el uso de robots físicos no tuvo impacto en el proceso de aprendizaje.

Algunas citas: 
""in a physical environment, students may not be able to stop their programs as quickly or easy, leading to more delayed feedback and delayed error correction"".
""physical environments provide a perceptual space to ground abstract concepts, and they provide experience with errors caused by physical artefacts""
""the physical environment may allow students to more clearly see the connection between their program code and the actions of the robot itself""
""physical robot may also provide more motivation for students whose interests lie in robotics, as working with a virtual simulation may feel less authentic""
""Other literature in the programming and computer science education field has emphasized the importance of short code execute debug cycles, which aid the learning process and may also prove less frustrating for students""
""studies in other fields suggest that immediate feedback can actually be detrimental (because it) may encourage students to engage in trial and error rather than thinking fully through their program and its behaviours""
""Thus, it appears that the physicality of the VEX robot did not provide any affordances to the learning process, and instead produced issues that distracted from the robot programming course""


Entra porque usan RobotC tanto para manejar robots virtuales como físicos.",RobotC,"freshman or sophomore year,
high school students",VEX robot,Experimento con alumnos,No,Textual,"Sí. RobotC tiene soporte para multitask (dependiendo del robot, supongo) pero en el paper no lo mencionan en ningún momento",No,Supuestamente RobotC tiene un debugger pero no mencionan nada de esto en el paper,No. Por lo que leí en el manual de RobotC sólo podés ver los valores de motores y sensores cuando estás debuggeando,Sí
SI,10.1007/s13384-013-0094-z,The architecture of children's use of language and tools when problem solving collaboratively with robotics,"This paper demonstrates, following Vygotsky, that language and tool use has a critical role in the collaborative problem-solving behaviour of school-age children. It reports original ethnographic classroom research examining the convergence of speech and practical activity in children’s collaborative problem solving with robotics programming tasks. The researchers analysed children’s interactions during a series of problem solving experiments in which Lego Mindstorms toolsets were used by teachers to create robotics design challenges among 24 students in a Year 4 Australian classroom (students aged 8.5–9.5 years). The design challenges were incrementally difficult, beginning with basic programming of straight line movement, and progressing to more complex challenges involving programming of the robots to raise Lego figures from conduit pipes using robots as pulleys with string and recycled materials. Data collection involved micro-genetic analysis of students’ speech interactions with tools, peers, and other experts, teacher interviews, and student focus group data. Coding the repeated patterns in the transcripts, the authors outline the structure of the children’s social speech in joint problem solving, demonstrating the patterns of speech and interaction that play an important role in the socialisation of the school-age child’s practical intellect",ar,2013-08-01,Australian Educational Researcher,,2-s2.0-84881572388,,,Article,Mills K.,,Queensland University of Technology,Brisbane,Australia,,,,,August 2013,3116999,29540,22105328,Journal,40,3,,315-337,0,,,,19,2013,https://link.springer.com/article/10.1007/s13384-013-0094-z,https://drive.google.com/file/d/1ujZ1fv6xC9MRD-AF2cIvzina0WAKwgMr/view,"Parece que usan LEGO NXT para enseñar, hicieron un estudio con chicos",NXT-G,entre 8 y 9,Lego Mindstorms NXT,Experiencia con alumnos,No,,,,,,
SI,10.1109/TLA.2013.6502866,Actions towards the application of intelligent systems in computer education,"In this work we present two courses of action as part of a research project which is focused in the use of intelligent tutoring systems and robots to improve the learning process of programming for the engineering field. The first method we use is the application of neural networks to the prediction of academic performance of students of programming and, on the other hand, we are developing practical activities based in robot programming for the same student universe as a motivational tool. These actions are the first steps to a learning strategy based on feedback and motivation, by applying intelligent systems in the process of teaching and learning programming applied to engineering field. © 2003-2012 IEEE.",ar,2013-05-02,IEEE Latin America Transactions,Educational Robots | Engineering Education | Intelligent Tutoring Systems,2-s2.0-84876815936,,,Article,Diaz L.,60000658,Universidad Nacional de Córdoba,Cordoba,Argentina,4,"Diaz, Laura C.;Algorry, Aldo;Eschoyez, Maximiliano;Barto, Carlos",57197162471;55667676100;36561402700;55667620300,60000658;60000658;60000658;60000658,2013,15480992,19700181218,,Journal,11,1,6502866,591-595,0,,undefined,,4,2013,https://ieeexplore.ieee.org/document/6502866,https://drive.google.com/file/d/1MLuHtPPqowxpUWZwrSnglkr3xTtsUrB8/view?usp=sharing,"ACAACA Técnicamente lo tendría que excluir porque está en español peeeero lo que voy a hacer es incluirlo por ahora y después voy a chequear los excluidos, si encuentro alguno en español excluido por no estar en inglés entonces este también lo excluyo (o capaz incluyo el otro, veo).

Este paper tiene 2 partes: una sobre una red neuronal que no tiene nada relevante, y otra sobre el uso de robots como elemento motivacional. Esta última es la parte interesante...
Hicieron un estudio con un grupo de pibes donde a unos les dieron un entorno de python con un robot virtual en pantalla (Rur-ple) y a los otros les dieron el robot de Lego.","PyNXC (para programar en Python)
https://drive.google.com/file/d/1g4vP_9_UgMF4Ht1edigx53dId23o4YOd/view?usp=share_link",No aclara pero creo que apunta a primeros años de universidad,Lego NXT,Experimento con alumnos,"No, usaron PyNXC",Textual,Sí,No,No,No,Si
SI,10.1080/15391523.2013.10782614,"Let's dance the ""Robot Hokey-Pokey!"": Children's programming approaches and achievement throughout early cognitive development","Young learners today generate, express, and interact with sophisticated ideas using a range of digital tools to explore interactive stories, animations, computer games, and robotics. In recent years, new developmentally appropriate robotics kits have been entering early childhood classrooms. This paper presents a retrospective analysis of one study within a design-based robotics research program. We examine how patterns of cognition throughout early childhood relate to programming approaches and achievement in a robotics context. The findings lay a foundation for applying cognitive developmental theory to early technology education and inform the evaluation of the study's programming and robotics technologies and curriculum. © 2013 ISTE.",ar,2013-01-01,Journal of Research on Technology in Education,Cognitive development | Computer programming | Early childhood education | Robotics | STEM,2-s2.0-84897482407,,,Article,Flannery L.,60023143,Tufts University,Medford,United States,2,"Flannery, Louise P.;Bers, Marina Umaschi",55800325500;57203655429,60023143;60023143,2013,15391523,21100301445,19450818,Journal,46,1,,81-101,0,NSF,-735657,National Science Foundation,37,2013,https://www.tandfonline.com/doi/abs/10.1080/15391523.2013.10782614,https://drive.google.com/file/d/15lxEa9gUXcM-RbujhXraPOEHZfv3BNnR/view?usp=sharing,"La pregunta que trata de responder este paper es por qué hay tanta disparidad entre la capacidad de los pibes para resolver problemas de robótica.
""The purpose of this article is to explore a preliminary hypothesis that cognitive development, which drives dramatic changes in reasoning throughout early childhood, might also influence achievement in learning to program robots.""",CHERP (Creative Hybrid Environment for Robotic Programming),4.4 years to 6.6 years; mean age was 5.6 years,LEGO robotics construction kits,"Es un análisis retrospectivo de un ""experimento"" con pibes de jardín de infantes (Kindergarteners and preschoolers): ""Age at the time of each child's first session ranged from 4.4 years to 6.6 years; mean age was 5.6 years.""","No, entiendo que usaron CHERP así como venía. CHERP forma parte del TangibleK curriculum",Híbrido (tangible y visual),No,No,No,No,Si
SI,10.1016/j.actaastro.2012.09.006,Collaborative gaming and competition for CS-STEM education using SPHERES Zero Robotics,"There is widespread investment of resources in the fields of Computer Science, Science, Technology, Engineering, Mathematics (CS-STEM) education to improve STEM interests and skills. This paper addresses the goal of revolutionizing student education using collaborative gaming and competition, both in virtual simulation environments and on real hardware in space. The concept is demonstrated using the SPHERES Zero Robotics (ZR) Program which is a robotics programming competition. The robots are miniature satellites called SPHERES - an experimental test bed developed by the MIT SSL on the International Space Station (ISS) to test navigation, formation flight and control algorithms in microgravity. The participants compete to win a technically challenging game by programming their strategies into the SPHERES satellites, completely from a web browser. The programs are demonstrated in simulation, on ground hardware and then in a final competition when an astronaut runs the student software aboard the ISS. ZR had a pilot event in 2009 with 10 High School (HS) students, a nationwide pilot tournament in 2010 with over 200 HS students from 19 US states, a summer tournament in 2010 with ∼150 middle school students and an open-registration tournament in 2011 with over 1000 HS students from USA and Europe. The influence of collaboration was investigated by (1) building new web infrastructure and an Integrated Development Environment where intensive inter-participant collaboration is possible, (2) designing and programming a game to solve a relevant formation flight problem, collaborative in nature - and (3) structuring a tournament such that inter-team collaboration is mandated. This paper introduces the ZR web tools, assesses the educational value delivered by the program using space and games and evaluates the utility of collaborative gaming within this framework. There were three types of collaborations as variables - within matches (to achieve game objectives), inter-team alliances and unstructured communication on online forums. Simulation competition scores, website usage statistics and post-competition surveys are used to evaluate educational impact and the effect of collaboration. © 2012 Elsevier Ltd. All rights reserved.",ar,2013-01-01,Acta Astronautica,Collaborative gaming | Educational robotics | Programming competitions | Social science research,2-s2.0-84869099801,S0094576512003633,,Article,Nag S.,60022195,Massachusetts Institute of Technology,Cambridge,United States,3,"Nag, Sreeja;Katz, Jacob G.;Saenz-Otero, Alvar",37102206600;35847606900;6508302909,60022195;60022195;60022195,2013,945765,12372,,Journal,83,,,145-174,0,NASA,NNX10AJ90A,National Aeronautics and Space Administration,26,2013,https://www.sciencedirect.com/science/article/abs/pii/S0094576512003633?via%3Dihub,https://drive.google.com/file/d/1h0rtCPwCbYvrPSgDdB2bsx_3oCV1FVdF/view?usp=sharing,"Este paper describe una compentencia de programación y robótica muy interesante donde los pibes programan unos robots que primero prueban en un simulador y después los prueban en gravedad cero en la ISS.
Las herramientas de programación son web y aparentemente están pensadas para fomentar la colaboración (y gamificación??). En el paper se describen estas herramientas.","C
MATLAB? (lo mencionan al principio pero pareciera que la programación de los robots la hacen en C)
ZR graphical editor (una GUI de programación visual)","high school students or middle school
13 a 17",SPHERES,Describe las herramientas usadas en varias competencias de programación y robótica espacial,"Sí, armaron herramientas web para poder programar, probar en simulación, submitear programas, hacerlos competir automáticamente, etc.
Armaron también una interfaz gráfica (bloques) para los que no saben C ","Textual
Visual","No dice. Yo imagino que sí, pero pareciera que no.","No (usan un simulador para poder probar el código antes de pasarlo a los robots reales que están en la ISS, pero los robots posta sólo los usan en la última parte de la compentencia)",No,"No. Por lo que ví, el ACAACA es: los pibes submitean su programa, y luego corre la simulación, y después se arma como una animación que les permite ver el resultado. Ahí capaz tienen toda la info de variables y eso, pero no es en ""tiempo real""",Sí
